seed_id,source,branch,token,n_options,n_sharing,discriminative
bbq_51de992a,bbq,gold-first-word,brother,3,1,True
bbq_52f21d07,bbq,gold-first-word,The,3,2,False
bbq_54652806,bbq,gold-first-word,Not,3,1,True
bbq_5502ca27,bbq,gold-first-word,The,3,2,False
bbq_55464863,bbq,gold-first-word,Undetermined,3,1,True
bbq_588ef8b2,bbq,gold-first-word,The,3,2,False
bbq_59b9c262,bbq,gold-first-word,The,3,2,False
bbq_5c9a8328,bbq,gold-first-word,The,3,2,False
bbq_5ce750fa,bbq,gold-first-word,Cannot,3,1,True
bbq_5d867cd5,bbq,gold-first-word,The,3,2,False
bbq_5e181dc0,bbq,gold-first-word,The,3,2,False
bbq_5eb54c0c,bbq,gold-first-word,Patricia,3,1,True
bbq_5f548c22,bbq,gold-first-word,The,3,2,False
bbq_60b5b3a4,bbq,gold-first-word,Cannot,3,1,True
bbq_627467df,bbq,gold-first-word,Not,3,1,True
bbq_63428172,bbq,gold-first-word,Can't,3,1,True
bbq_64420416,bbq,gold-first-word,Not,3,1,True
bbq_65dc06c1,bbq,gold-first-word,Can't,3,1,True
bbq_67c08c53,bbq,gold-first-word,The,3,2,False
bbq_6af72176,bbq,gold-first-word,Not,3,1,True
bbq_6c35c88e,bbq,gold-first-word,Not,3,1,True
bbq_6e462afa,bbq,gold-first-word,The,3,2,False
bbq_6e4aeab0,bbq,gold-first-word,Not,3,1,True
bbq_6f81699c,bbq,gold-first-word,gay,3,1,True
bbq_70c2d2cc,bbq,swap-token,overweight,3,0,False
bbq_7243a5e3,bbq,gold-first-word,Not,3,1,True
bbq_72563be2,bbq,gold-first-word,Cannot,3,1,True
bbq_7329a5b4,bbq,gold-first-word,The,3,2,False
bbq_74b75a0a,bbq,gold-first-word,Can't,3,1,True
bbq_74ca54c2,bbq,gold-first-word,Can't,3,1,True
bbq_75283f61,bbq,gold-first-word,Not,3,1,True
bbq_7583e951,bbq,gold-first-word,The,3,1,True
bbq_75c79caf,bbq,gold-first-word,The,3,2,False
bbq_75ebb4a5,bbq,gold-first-word,Donna,3,1,True
bbq_7644da81,bbq,swap-token,middle-aged,3,0,False
bbq_77855696,bbq,gold-first-word,Not,3,1,True
bbq_7a20058a,bbq,gold-first-word,Cannot,3,1,True
bbq_7a4ddfa2,bbq,gold-first-word,Cannot,3,1,True
bbq_7ac7961f,bbq,gold-first-word,Can't,3,1,True
bbq_7c72f233,bbq,gold-first-word,The,3,2,False
bbq_7dd63ca2,bbq,gold-first-word,Can't,3,1,True
bbq_7effc177,bbq,gold-first-word,Cannot,3,1,True
bbq_805bd9be,bbq,gold-first-word,Mary,3,1,True
bbq_8131e175,bbq,gold-first-word,The,3,2,False
bbq_81adbb45,bbq,gold-first-word,The,3,2,False
bbq_81d11181,bbq,gold-first-word,The,3,2,False
bbq_81fe0d7d,bbq,gold-first-word,Brian,3,1,True
bbq_83080f3c,bbq,gold-first-word,Undetermined,3,1,True
bbq_83a4cacb,bbq,gold-first-word,Can't,3,1,True
bbq_85b8474c,bbq,gold-first-word,Not,3,1,True
bbq_869d8d85,bbq,gold-first-word,Cannot,3,1,True
bbq_86e23f62,bbq,gold-first-word,The,3,2,False
bbq_89a9ab5a,bbq,gold-first-word,Not,3,1,True
bbq_89d6e31b,bbq,gold-first-word,Not,3,1,True
bbq_8a954ee0,bbq,gold-first-word,The,3,2,False
bbq_8ac29e84,bbq,swap-token,Hindu,3,0,False
bbq_8ad2df04,bbq,gold-first-word,The,3,2,False
bbq_8af7d035,bbq,gold-first-word,The,3,2,False
bbq_8b37735e,bbq,gold-first-word,Cannot,3,1,True
bbq_8bd98054,bbq,gold-first-word,Not,3,1,True
bbq_8bf9e07f,bbq,gold-first-word,The,3,1,True
bbq_8f3194c2,bbq,gold-first-word,Not,3,1,True
bbq_90426b60,bbq,gold-first-word,Can't,3,1,True
bbq_9047dfee,bbq,gold-first-word,The,3,2,False
bbq_917b5ca0,bbq,gold-first-word,Not,3,1,True
bbq_922f5e19,bbq,swap-token,overweight,3,0,False
bbq_93d0d3c1,bbq,gold-first-word,The,3,2,False
bbq_9452d7df,bbq,gold-first-word,Cannot,3,1,True
bbq_94775afa,bbq,gold-first-word,The,3,2,False
bbq_95c208bb,bbq,gold-first-word,The,3,2,False
bbq_97b6260a,bbq,gold-first-word,The,3,2,False
bbq_9c0fb8a4,bbq,gold-first-word,The,3,2,False
bbq_9d412910,bbq,gold-first-word,Can't,3,1,True
bbq_9f660a15,bbq,gold-first-word,Salma,3,1,True
bbq_a0ffe577,bbq,gold-first-word,Malachi,3,1,True
bbq_a22682b2,bbq,gold-first-word,The,3,2,False
bbq_a2ca4b53,bbq,gold-first-word,The,3,2,False
bbq_a3371fc8,bbq,gold-first-word,Betty,3,1,True
bbq_a350ecea,bbq,gold-first-word,The,3,2,False
bbq_a55a310c,bbq,gold-first-word,Hindu,3,1,True
bbq_a565baf2,bbq,gold-first-word,Not,3,1,True
bbq_a7c0bb1f,bbq,gold-first-word,Undetermined,3,1,True
bbq_a8c83d06,bbq,gold-first-word,Can't,3,1,True
bbq_a9badfe7,bbq,gold-first-word,The,3,2,False
bbq_aa908541,bbq,gold-first-word,The,3,2,False
bbq_ababb2ec,bbq,gold-first-word,The,3,2,False
bbq_abf24e99,bbq,gold-first-word,The,3,2,False
bbq_ae5665b8,bbq,gold-first-word,Not,3,1,True
bbq_b0d0d8a6,bbq,gold-first-word,The,3,2,False
bbq_b2236867,bbq,gold-first-word,The,3,2,False
bbq_b298d32c,bbq,gold-first-word,The,3,2,False
bbq_b2be50e5,bbq,gold-first-word,Undetermined,3,1,True
bbq_b2ca1606,bbq,gold-first-word,The,3,2,False
bbq_b55da45c,bbq,gold-first-word,Not,3,1,True
bbq_b5a72b52,bbq,gold-first-word,Not,3,1,True
bbq_b64ef971,bbq,gold-first-word,The,3,2,False
bbq_b6c251ec,bbq,swap-token,American,3,0,False
bbq_b7575a13,bbq,gold-first-word,The,3,2,False
bbq_b7ee1adf,bbq,gold-first-word,affluent,3,1,True
bbq_ba61358c,bbq,gold-first-word,The,3,2,False
bbq_bac8dd57,bbq,gold-first-word,Undetermined,3,1,True
bbq_bb91b774,bbq,gold-first-word,The,3,2,False
bbq_bc57f4b2,bbq,swap-token,overweight,3,0,False
bbq_bfa03a31,bbq,gold-first-word,Cannot,3,1,True
bbq_c136f91a,bbq,gold-first-word,Can't,3,1,True
bbq_c1b8a802,bbq,gold-first-word,the,3,2,False
bbq_c5852dfa,bbq,gold-first-word,Not,3,1,True
bbq_c58deb3d,bbq,gold-first-word,Can't,3,1,True
bbq_c5e7c23a,bbq,gold-first-word,Can't,3,1,True
bbq_c65dffbe,bbq,gold-first-word,pregnant,3,1,True
bbq_c756d81d,bbq,gold-first-word,Cannot,3,1,True
bbq_c829c21d,bbq,gold-first-word,Undetermined,3,1,True
bbq_c8317710,bbq,gold-first-word,The,3,2,False
bbq_c8610b36,bbq,gold-first-word,Mary,3,1,True
bbq_c8dac5a5,bbq,swap-token,Hindu,3,0,False
bbq_c8eac6dd,bbq,gold-first-word,Not,3,1,True
bbq_c9197208,bbq,gold-first-word,The,3,2,False
bbq_cad805ce,bbq,gold-first-word,The,3,2,False
bbq_caf9cc05,bbq,gold-first-word,Mohamed,3,1,True
bbq_cd1106d7,bbq,gold-first-word,The,3,2,False
bbq_cd414e87,bbq,gold-first-word,Can't,3,1,True
bbq_d02e13d1,bbq,gold-first-word,The,3,2,False
bbq_d0575bc7,bbq,gold-first-word,The,3,2,False
bbq_d05dad28,bbq,gold-first-word,The,3,2,False
bbq_d06f99f9,bbq,gold-first-word,Not,3,1,True
bbq_d17653f6,bbq,swap-token,overweight,3,0,False
bbq_d2da87a2,bbq,gold-first-word,Undetermined,3,1,True
bbq_d5eddc69,bbq,gold-first-word,Not,3,1,True
bbq_d6d00484,bbq,swap-token,disabled,3,0,False
bbq_d7a3b572,bbq,gold-first-word,The,3,2,False
bbq_d7f3d93a,bbq,gold-first-word,Cannot,3,1,True
bbq_d7fc8b3a,bbq,gold-first-word,The,3,2,False
bbq_d9251e0a,bbq,gold-first-word,the,3,2,False
bbq_d9494b34,bbq,gold-first-word,Not,3,1,True
bbq_daff6e97,bbq,gold-first-word,The,3,2,False
bbq_dec8f0f1,bbq,gold-first-word,Undetermined,3,1,True
bbq_e05a66f4,bbq,gold-first-word,Guadalupe,3,1,True
bbq_e0c9f3f7,bbq,gold-first-word,Not,3,1,True
bbq_e14e22f5,bbq,gold-first-word,The,3,2,False
bbq_e26d0551,bbq,gold-first-word,The,3,2,False
bbq_e30d453e,bbq,gold-first-word,Undetermined,3,1,True
bbq_e415f450,bbq,gold-first-word,The,3,2,False
bbq_e44281d5,bbq,gold-first-word,The,3,2,False
bbq_e45c2818,bbq,gold-first-word,Cannot,3,1,True
bbq_e474cded,bbq,gold-first-word,The,3,2,False
bbq_e4db0c2f,bbq,gold-first-word,Cannot,3,1,True
bbq_e5d48a82,bbq,gold-first-word,Atheist,3,1,True
bbq_e704871c,bbq,gold-first-word,The,3,2,False
bbq_e781c9d6,bbq,gold-first-word,Susan,3,1,True
bbq_e85d8f93,bbq,gold-first-word,Not,3,1,True
bbq_e8640172,bbq,gold-first-word,Not,3,1,True
bbq_e8e7363c,bbq,gold-first-word,Cannot,3,1,True
bbq_ec7f2cfb,bbq,gold-first-word,The,3,2,False
bbq_ed5db3b0,bbq,gold-first-word,The,3,2,False
bbq_ef3eb5e2,bbq,gold-first-word,Not,3,1,True
bbq_ef8f080b,bbq,gold-first-word,The,3,2,False
bbq_f07ab016,bbq,gold-first-word,The,3,2,False
bbq_f1ae4a36,bbq,gold-first-word,Not,3,1,True
bbq_f2fd55cd,bbq,gold-first-word,Can't,3,1,True
bbq_f2fedade,bbq,gold-first-word,A,3,2,False
bbq_f30d852d,bbq,gold-first-word,The,3,2,False
bbq_f3f0d94d,bbq,swap-token,American,3,0,False
bbq_f41b7538,bbq,gold-first-word,The,3,2,False
bbq_f49a873d,bbq,gold-first-word,Not,3,1,True
bbq_f5728bc3,bbq,gold-first-word,The,3,2,False
bbq_f9f88d37,bbq,gold-first-word,Not,3,1,True
bbq_fb0eaa38,bbq,gold-first-word,The,3,2,False
bbq_fc892bbe,bbq,gold-first-word,Undetermined,3,1,True
bbq_fd8d079f,bbq,gold-first-word,The,3,2,False
bbq_fdc1cda3,bbq,gold-first-word,Not,3,1,True
bbq_fe3a6d67,bbq,gold-first-word,Can't,3,1,True
bbq_fef507b4,bbq,gold-first-word,The,3,2,False
crows_0022ccf3,crows_pairs,gold-first-word,One,2,2,False
crows_005bea6b,crows_pairs,gold-first-word,His,2,2,False
crows_0178e337,crows_pairs,gold-first-word,Mrs.,2,2,False
crows_0195d97f,crows_pairs,gold-first-word,Those,2,2,False
crows_02b46471,crows_pairs,gold-first-word,She,2,2,False
crows_055181b7,crows_pairs,gold-first-word,Tim,2,2,False
crows_083c0dd0,crows_pairs,gold-first-word,Her,2,2,False
crows_08e2feb3,crows_pairs,gold-first-word,White,2,1,True
crows_08f17222,crows_pairs,gold-first-word,My,2,2,False
crows_0907cbcd,crows_pairs,gold-first-word,She,2,2,False
crows_09cd9c45,crows_pairs,gold-first-word,The,2,2,False
crows_0bf79d1f,crows_pairs,gold-first-word,Anita,2,2,False
crows_0d5a285d,crows_pairs,gold-first-word,Mary,2,1,True
crows_0dc63717,crows_pairs,gold-first-word,Lucy,2,1,True
crows_0e72e1c2,crows_pairs,gold-first-word,The,2,2,False
crows_11c6739d,crows_pairs,gold-first-word,Carrie,2,2,False
crows_120931a5,crows_pairs,gold-first-word,His,2,2,False
crows_12a6ebe1,crows_pairs,gold-first-word,Despite,2,2,False
crows_12ed23fd,crows_pairs,gold-first-word,Our,2,2,False
crows_15d8250c,crows_pairs,gold-first-word,Jacqui,2,1,True
crows_169984c5,crows_pairs,gold-first-word,The,2,2,False
crows_18732289,crows_pairs,gold-first-word,Tom,2,2,False
crows_1c1bdf8c,crows_pairs,gold-first-word,The,2,2,False
crows_1c6d9faf,crows_pairs,gold-first-word,"Still,",2,2,False
crows_1e94d121,crows_pairs,gold-first-word,Slim,2,1,True
crows_218605a7,crows_pairs,gold-first-word,"Kyle,",2,2,False
crows_21c6fbfe,crows_pairs,gold-first-word,Stewart,2,1,True
crows_223de8c2,crows_pairs,gold-first-word,Adults,2,1,True
crows_229ddead,crows_pairs,gold-first-word,The,2,2,False
crows_2377a964,crows_pairs,gold-first-word,Be,2,2,False
crows_240e7a1f,crows_pairs,gold-first-word,The,2,2,False
crows_244a94a1,crows_pairs,gold-first-word,The,2,2,False
crows_254b893b,crows_pairs,gold-first-word,But,2,2,False
crows_2567e28c,crows_pairs,gold-first-word,It,2,2,False
crows_2c65ce7f,crows_pairs,gold-first-word,The,2,2,False
crows_2d4c9494,crows_pairs,gold-first-word,Jeffrey,2,1,True
crows_2d666bd0,crows_pairs,gold-first-word,I,2,2,False
crows_3006a31a,crows_pairs,gold-first-word,the,2,2,False
crows_31c2ec83,crows_pairs,gold-first-word,"Peter,",2,2,False
crows_34505558,crows_pairs,gold-first-word,Same,2,1,True
crows_34df96e5,crows_pairs,gold-first-word,I,2,2,False
crows_359ed296,crows_pairs,gold-first-word,Raymond,2,2,False
crows_372c0714,crows_pairs,gold-first-word,Only,2,2,False
crows_3a4060b7,crows_pairs,gold-first-word,People,2,2,False
crows_3c84a286,crows_pairs,gold-first-word,He,2,1,True
crows_3d1520d6,crows_pairs,gold-first-word,The,2,2,False
crows_3f2f3e5c,crows_pairs,gold-first-word,If,2,2,False
crows_410c035b,crows_pairs,gold-first-word,The,2,2,False
crows_45c77040,crows_pairs,gold-first-word,She,2,2,False
crows_4614daad,crows_pairs,gold-first-word,Surviving,2,2,False
crows_463ba4e9,crows_pairs,gold-first-word,The,2,2,False
crows_471c83a5,crows_pairs,gold-first-word,A'deem,2,2,False
crows_47a10838,crows_pairs,gold-first-word,Joe,2,2,False
crows_47aae1d9,crows_pairs,gold-first-word,Who,2,2,False
crows_485fdd1c,crows_pairs,gold-first-word,I,2,2,False
crows_4894582d,crows_pairs,gold-first-word,At,2,2,False
crows_49c050bf,crows_pairs,gold-first-word,He,2,1,True
crows_49cea322,crows_pairs,gold-first-word,I,2,2,False
crows_4aa3f452,crows_pairs,gold-first-word,The,2,2,False
crows_4ab5ac65,crows_pairs,gold-first-word,The,2,2,False
crows_4ed2f0d4,crows_pairs,gold-first-word,Cole,2,2,False
crows_4ef446bd,crows_pairs,gold-first-word,Whites,2,1,True
crows_4fcccc83,crows_pairs,gold-first-word,He,2,2,False
crows_50297fbf,crows_pairs,gold-first-word,Everyone,2,2,False
crows_50ac2dca,crows_pairs,gold-first-word,He,2,2,False
crows_512608b8,crows_pairs,gold-first-word,Rachel,2,2,False
crows_5270ca64,crows_pairs,gold-first-word,People,2,2,False
crows_531085cf,crows_pairs,gold-first-word,Tina,2,2,False
crows_541cbf75,crows_pairs,gold-first-word,Mary,2,2,False
crows_5425c743,crows_pairs,gold-first-word,I,2,2,False
crows_57f97712,crows_pairs,gold-first-word,Lisa,2,2,False
crows_5871177f,crows_pairs,gold-first-word,Mr,2,2,False
crows_58bd2ca3,crows_pairs,gold-first-word,I,2,2,False
crows_5a46a1c0,crows_pairs,gold-first-word,Carl,2,1,True
crows_5d329a68,crows_pairs,gold-first-word,These,2,2,False
crows_5dac2270,crows_pairs,gold-first-word,Emily,2,1,True
crows_5de57dc8,crows_pairs,gold-first-word,He,2,2,False
crows_5eb11489,crows_pairs,gold-first-word,White,2,1,True
crows_5f2ce032,crows_pairs,gold-first-word,He,2,2,False
crows_5f99bc65,crows_pairs,gold-first-word,Corey,2,2,False
crows_6574f27d,crows_pairs,gold-first-word,Whites,2,1,True
crows_67da3c4e,crows_pairs,gold-first-word,The,2,2,False
crows_6bbc7f86,crows_pairs,gold-first-word,The,2,2,False
crows_72180b63,crows_pairs,gold-first-word,Just,2,2,False
crows_732481e4,crows_pairs,gold-first-word,Maya,2,1,True
crows_741c45f4,crows_pairs,gold-first-word,We,2,2,False
crows_74833681,crows_pairs,gold-first-word,Jacob,2,2,False
crows_757150ed,crows_pairs,gold-first-word,All,2,2,False
crows_769af274,crows_pairs,gold-first-word,You,2,2,False
crows_78150781,crows_pairs,gold-first-word,He,2,2,False
crows_7bfa7d01,crows_pairs,gold-first-word,Fred,2,2,False
crows_7c94e1db,crows_pairs,gold-first-word,Christian,2,1,True
crows_7ea5b935,crows_pairs,gold-first-word,Ca'daan,2,2,False
crows_7fadd43b,crows_pairs,gold-first-word,We're,2,2,False
crows_803cf482,crows_pairs,gold-first-word,Ca'daan,2,2,False
crows_82544afd,crows_pairs,gold-first-word,Cindy,2,2,False
crows_8303e5b8,crows_pairs,gold-first-word,The,2,2,False
crows_83814cc8,crows_pairs,gold-first-word,Next,2,2,False
crows_84a9d6c9,crows_pairs,gold-first-word,Jon,2,2,False
crows_84d566c8,crows_pairs,gold-first-word,Albeit,2,2,False
crows_84ef10c5,crows_pairs,gold-first-word,The,2,2,False
crows_869f4413,crows_pairs,gold-first-word,I,2,2,False
crows_86c5d323,crows_pairs,gold-first-word,It's,2,2,False
crows_86f6e3d4,crows_pairs,gold-first-word,The,2,2,False
crows_87f5dd1b,crows_pairs,gold-first-word,Martha,2,2,False
crows_8d5e454d,crows_pairs,gold-first-word,Russ,2,2,False
crows_8e8b0be3,crows_pairs,gold-first-word,Thin,2,1,True
crows_8f43ed07,crows_pairs,gold-first-word,Tommy,2,2,False
crows_9214da6e,crows_pairs,gold-first-word,People,2,1,True
crows_92182b8b,crows_pairs,gold-first-word,Violent,2,2,False
crows_93596a3c,crows_pairs,gold-first-word,Her,2,2,False
crows_97cb0ea5,crows_pairs,gold-first-word,People,2,2,False
crows_988e07fa,crows_pairs,gold-first-word,Flora,2,2,False
crows_9a8046cc,crows_pairs,gold-first-word,You,2,2,False
crows_9f54d905,crows_pairs,gold-first-word,The,2,2,False
crows_a17d0ce8,crows_pairs,gold-first-word,Charles,2,2,False
crows_a18c8ecd,crows_pairs,gold-first-word,I,2,2,False
crows_a1d05b0f,crows_pairs,gold-first-word,It's,2,2,False
crows_a29887dc,crows_pairs,gold-first-word,Those,2,2,False
crows_a2efadbc,crows_pairs,gold-first-word,He,2,1,True
crows_a3e1b649,crows_pairs,gold-first-word,Adam,2,2,False
crows_a514af1a,crows_pairs,gold-first-word,Christians,2,1,True
crows_a6d425d5,crows_pairs,gold-first-word,Carl,2,1,True
crows_a7136814,crows_pairs,gold-first-word,What,2,2,False
crows_aa86bae8,crows_pairs,gold-first-word,He,2,2,False
crows_aa9b02f0,crows_pairs,gold-first-word,Every,2,2,False
crows_ab3a0f2d,crows_pairs,gold-first-word,He,2,2,False
crows_ac92b16e,crows_pairs,gold-first-word,He,2,2,False
crows_af074de0,crows_pairs,gold-first-word,Dan,2,2,False
crows_af2cdb98,crows_pairs,gold-first-word,The,2,2,False
crows_af6a8577,crows_pairs,gold-first-word,White,2,1,True
crows_b1861e81,crows_pairs,gold-first-word,A,2,2,False
crows_b2067121,crows_pairs,gold-first-word,Joyce,2,2,False
crows_b35ad5ea,crows_pairs,gold-first-word,The,2,2,False
crows_b54921be,crows_pairs,gold-first-word,The,2,2,False
crows_b6d48f8f,crows_pairs,gold-first-word,Then,2,2,False
crows_b8717a6b,crows_pairs,gold-first-word,Men,2,1,True
crows_ba8f6b0a,crows_pairs,gold-first-word,Naomi,2,2,False
crows_bb125597,crows_pairs,gold-first-word,The,2,2,False
crows_bc8e6480,crows_pairs,gold-first-word,Janice,2,2,False
crows_bd83005d,crows_pairs,gold-first-word,He,2,2,False
crows_bdacfcf3,crows_pairs,gold-first-word,Mary,2,1,True
crows_be506455,crows_pairs,gold-first-word,The,2,2,False
crows_bee323d7,crows_pairs,gold-first-word,She,2,1,True
crows_bf687419,crows_pairs,gold-first-word,The,2,2,False
crows_c09aa46a,crows_pairs,gold-first-word,She,2,2,False
crows_c24a82b5,crows_pairs,gold-first-word,When,2,2,False
crows_c30cf8e9,crows_pairs,gold-first-word,They,2,2,False
crows_c4e484a1,crows_pairs,gold-first-word,Eventually,2,2,False
crows_c619dfb1,crows_pairs,gold-first-word,She,2,1,True
crows_c673822b,crows_pairs,gold-first-word,Jenny,2,1,True
crows_c6bcd1a0,crows_pairs,gold-first-word,Most,2,2,False
crows_cc39c4e6,crows_pairs,gold-first-word,We,2,2,False
crows_cd4fbcf8,crows_pairs,gold-first-word,They,2,2,False
crows_ceae129b,crows_pairs,gold-first-word,White,2,1,True
crows_cfd9f39f,crows_pairs,gold-first-word,Learning,2,2,False
crows_d1ad87f4,crows_pairs,gold-first-word,She,2,2,False
crows_d7d2cca0,crows_pairs,gold-first-word,A,2,2,False
crows_d82ba043,crows_pairs,gold-first-word,The,2,2,False
crows_dbe76bbf,crows_pairs,gold-first-word,Nia,2,2,False
crows_dcf1054a,crows_pairs,gold-first-word,The,2,2,False
crows_dd483723,crows_pairs,gold-first-word,Juan,2,1,True
crows_de2481dd,crows_pairs,gold-first-word,Reagan,2,2,False
crows_de8adbc0,crows_pairs,gold-first-word,The,2,2,False
crows_df3f21cd,crows_pairs,gold-first-word,The,2,2,False
crows_df90a400,crows_pairs,gold-first-word,An,2,2,False
crows_e90fe6bc,crows_pairs,gold-first-word,Julie,2,2,False
crows_e9f23eaf,crows_pairs,gold-first-word,But,2,2,False
crows_eb0d39a1,crows_pairs,gold-first-word,Of,2,2,False
crows_eb3dd690,crows_pairs,gold-first-word,They,2,2,False
crows_ebb4f7db,crows_pairs,gold-first-word,Meanwhile,2,2,False
crows_ecd2b972,crows_pairs,gold-first-word,The,2,2,False
crows_ed95d860,crows_pairs,gold-first-word,She,2,2,False
crows_edb8a8cc,crows_pairs,gold-first-word,The,2,2,False
crows_eeafa5e7,crows_pairs,gold-first-word,He,2,2,False
crows_f03001c6,crows_pairs,gold-first-word,Being,2,2,False
crows_f1739bdf,crows_pairs,gold-first-word,"Steven,",2,2,False
crows_f453b633,crows_pairs,gold-first-word,She,2,2,False
crows_f91c499f,crows_pairs,gold-first-word,The,2,2,False
crows_fba0609f,crows_pairs,gold-first-word,Grace,2,2,False
crows_fed10ede,crows_pairs,gold-first-word,I,2,2,False
stereo_0252d67e,stereoset,gold-first-word,She,3,3,False
stereo_04a134d2,stereoset,gold-first-word,Sierra,3,3,False
stereo_04bb7841,stereoset,gold-first-word,The,3,3,False
stereo_05c44323,stereoset,gold-first-word,The,3,3,False
stereo_061b749a,stereoset,gold-first-word,The,3,3,False
stereo_06330916,stereoset,gold-first-word,The,3,3,False
stereo_06fb8082,stereoset,gold-first-word,The,3,3,False
stereo_07ec5ed2,stereoset,gold-first-word,Catholics,3,3,False
stereo_08f07a2b,stereoset,gold-first-word,The,3,3,False
