example_id_A,example_id_B,kind,category,question_index,reason
984,1028,invariance,Age,12,entity_overlap_not_one
984,1032,invariance,Age,12,entity_overlap_not_one
984,1036,invariance,Age,12,entity_overlap_not_one
984,1040,invariance,Age,12,entity_overlap_not_one
984,1044,invariance,Age,12,entity_overlap_not_one
984,1048,invariance,Age,12,entity_overlap_not_one
984,1052,invariance,Age,12,entity_overlap_not_one
984,1056,invariance,Age,12,entity_overlap_not_one
984,1060,invariance,Age,12,entity_overlap_not_one
984,1064,invariance,Age,12,entity_overlap_not_one
984,1068,invariance,Age,12,entity_overlap_not_one
988,980,invariance,Age,12,entity_overlap_not_one
988,984,invariance,Age,12,entity_overlap_not_one
988,1004,invariance,Age,12,entity_overlap_not_one
988,1008,invariance,Age,12,entity_overlap_not_one
988,1016,invariance,Age,12,entity_overlap_not_one
988,1020,invariance,Age,12,entity_overlap_not_one
988,1024,invariance,Age,12,entity_overlap_not_one
988,1028,invariance,Age,12,entity_overlap_not_one
988,1032,invariance,Age,12,entity_overlap_not_one
988,1036,invariance,Age,12,entity_overlap_not_one
988,1040,invariance,Age,12,entity_overlap_not_one
988,1044,invariance,Age,12,entity_overlap_not_one
988,1048,invariance,Age,12,entity_overlap_not_one
988,1052,invariance,Age,12,entity_overlap_not_one
988,1056,invariance,Age,12,entity_overlap_not_one
988,1060,invariance,Age,12,entity_overlap_not_one
988,1064,invariance,Age,12,entity_overlap_not_one
988,1068,invariance,Age,12,entity_overlap_not_one
992,976,invariance,Age,12,entity_overlap_not_one
992,984,invariance,Age,12,entity_overlap_not_one
992,1000,invariance,Age,12,entity_overlap_not_one
992,1008,invariance,Age,12,entity_overlap_not_one
992,1012,invariance,Age,12,entity_overlap_not_one
992,1020,invariance,Age,12,entity_overlap_not_one
992,1024,invariance,Age,12,entity_overlap_not_one
992,1028,invariance,Age,12,entity_overlap_not_one
992,1032,invariance,Age,12,entity_overlap_not_one
992,1036,invariance,Age,12,entity_overlap_not_one
992,1040,invariance,Age,12,entity_overlap_not_one
992,1044,invariance,Age,12,entity_overlap_not_one
992,1048,invariance,Age,12,entity_overlap_not_one
992,1052,invariance,Age,12,entity_overlap_not_one
992,1056,invariance,Age,12,entity_overlap_not_one
992,1060,invariance,Age,12,entity_overlap_not_one
992,1064,invariance,Age,12,entity_overlap_not_one
992,1068,invariance,Age,12,entity_overlap_not_one
996,976,invariance,Age,12,entity_overlap_not_one
996,980,invariance,Age,12,entity_overlap_not_one
996,1000,invariance,Age,12,entity_overlap_not_one
996,1004,invariance,Age,12,entity_overlap_not_one
996,1012,invariance,Age,12,entity_overlap_not_one
996,1016,invariance,Age,12,entity_overlap_not_one
996,1024,invariance,Age,12,entity_overlap_not_one
996,1028,invariance,Age,12,entity_overlap_not_one
996,1032,invariance,Age,12,entity_overlap_not_one
996,1036,invariance,Age,12,entity_overlap_not_one
996,1040,invariance,Age,12,entity_overlap_not_one
996,1044,invariance,Age,12,entity_overlap_not_one
996,1048,invariance,Age,12,entity_overlap_not_one
996,1052,invariance,Age,12,entity_overlap_not_one
996,1056,invariance,Age,12,entity_overlap_not_one
996,1060,invariance,Age,12,entity_overlap_not_one
996,1064,invariance,Age,12,entity_overlap_not_one
996,1068,invariance,Age,12,entity_overlap_not_one
1000,980,invariance,Age,12,entity_overlap_not_one
1000,984,invariance,Age,12,entity_overlap_not_one
1000,992,invariance,Age,12,entity_overlap_not_one
1000,996,invariance,Age,12,entity_overlap_not_one
1000,1016,invariance,Age,12,entity_overlap_not_one
1000,1020,invariance,Age,12,entity_overlap_not_one
1000,1024,invariance,Age,12,entity_overlap_not_one
1000,1028,invariance,Age,12,entity_overlap_not_one
1000,1032,invariance,Age,12,entity_overlap_not_one
1000,1036,invariance,Age,12,entity_overlap_not_one
1000,1040,invariance,Age,12,entity_overlap_not_one
1000,1044,invariance,Age,12,entity_overlap_not_one
1000,1048,invariance,Age,12,entity_overlap_not_one
1000,1052,invariance,Age,12,entity_overlap_not_one
1000,1056,invariance,Age,12,entity_overlap_not_one
1000,1060,invariance,Age,12,entity_overlap_not_one
1000,1064,invariance,Age,12,entity_overlap_not_one
1000,1068,invariance,Age,12,entity_overlap_not_one
1004,976,invariance,Age,12,entity_overlap_not_one
1004,984,invariance,Age,12,entity_overlap_not_one
1004,988,invariance,Age,12,entity_overlap_not_one
1004,996,invariance,Age,12,entity_overlap_not_one
1004,1012,invariance,Age,12,entity_overlap_not_one
1004,1020,invariance,Age,12,entity_overlap_not_one
1004,1024,invariance,Age,12,entity_overlap_not_one
1004,1028,invariance,Age,12,entity_overlap_not_one
1004,1032,invariance,Age,12,entity_overlap_not_one
1004,1036,invariance,Age,12,entity_overlap_not_one
1004,1040,invariance,Age,12,entity_overlap_not_one
1004,1044,invariance,Age,12,entity_overlap_not_one
1004,1048,invariance,Age,12,entity_overlap_not_one
1004,1052,invariance,Age,12,entity_overlap_not_one
1004,1056,invariance,Age,12,entity_overlap_not_one
1004,1060,invariance,Age,12,entity_overlap_not_one
1004,1064,invariance,Age,12,entity_overlap_not_one
1004,1068,invariance,Age,12,entity_overlap_not_one
1008,976,invariance,Age,12,entity_overlap_not_one
1008,980,invariance,Age,12,entity_overlap_not_one
1008,988,invariance,Age,12,entity_overlap_not_one
1008,992,invariance,Age,12,entity_overlap_not_one
1008,1012,invariance,Age,12,entity_overlap_not_one
1008,1016,invariance,Age,12,entity_overlap_not_one
1008,1024,invariance,Age,12,entity_overlap_not_one
1008,1028,invariance,Age,12,entity_overlap_not_one
1008,1032,invariance,Age,12,entity_overlap_not_one
1008,1036,invariance,Age,12,entity_overlap_not_one
1008,1040,invariance,Age,12,entity_overlap_not_one
1008,1044,invariance,Age,12,entity_overlap_not_one
1008,1048,invariance,Age,12,entity_overlap_not_one
1008,1052,invariance,Age,12,entity_overlap_not_one
1008,1056,invariance,Age,12,entity_overlap_not_one
1008,1060,invariance,Age,12,entity_overlap_not_one
1008,1064,invariance,Age,12,entity_overlap_not_one
1008,1068,invariance,Age,12,entity_overlap_not_one
1012,980,invariance,Age,12,entity_overlap_not_one
1012,984,invariance,Age,12,entity_overlap_not_one
1012,992,invariance,Age,12,entity_overlap_not_one
1012,996,invariance,Age,12,entity_overlap_not_one
1012,1004,invariance,Age,12,entity_overlap_not_one
1012,1008,invariance,Age,12,entity_overlap_not_one
1012,1024,invariance,Age,12,entity_overlap_not_one
1012,1028,invariance,Age,12,entity_overlap_not_one
1012,1032,invariance,Age,12,entity_overlap_not_one
1012,1036,invariance,Age,12,entity_overlap_not_one
1012,1040,invariance,Age,12,entity_overlap_not_one
1012,1044,invariance,Age,12,entity_overlap_not_one
1012,1048,invariance,Age,12,entity_overlap_not_one
1012,1052,invariance,Age,12,entity_overlap_not_one
1012,1056,invariance,Age,12,entity_overlap_not_one
1012,1060,invariance,Age,12,entity_overlap_not_one
1012,1064,invariance,Age,12,entity_overlap_not_one
1012,1068,invariance,Age,12,entity_overlap_not_one
1016,976,invariance,Age,12,entity_overlap_not_one
1016,984,invariance,Age,12,entity_overlap_not_one
1016,988,invariance,Age,12,entity_overlap_not_one
1016,996,invariance,Age,12,entity_overlap_not_one
1016,1000,invariance,Age,12,entity_overlap_not_one
1016,1008,invariance,Age,12,entity_overlap_not_one
1016,1024,invariance,Age,12,entity_overlap_not_one
1016,1028,invariance,Age,12,entity_overlap_not_one
1016,1032,invariance,Age,12,entity_overlap_not_one
1016,1036,invariance,Age,12,entity_overlap_not_one
1016,1040,invariance,Age,12,entity_overlap_not_one
1016,1044,invariance,Age,12,entity_overlap_not_one
1016,1048,invariance,Age,12,entity_overlap_not_one
1016,1052,invariance,Age,12,entity_overlap_not_one
1016,1056,invariance,Age,12,entity_overlap_not_one
1016,1060,invariance,Age,12,entity_overlap_not_one
1016,1064,invariance,Age,12,entity_overlap_not_one
1016,1068,invariance,Age,12,entity_overlap_not_one
1020,976,invariance,Age,12,entity_overlap_not_one
1020,980,invariance,Age,12,entity_overlap_not_one
1020,988,invariance,Age,12,entity_overlap_not_one
1020,992,invariance,Age,12,entity_overlap_not_one
1020,1000,invariance,Age,12,entity_overlap_not_one
1020,1004,invariance,Age,12,entity_overlap_not_one
1020,1024,invariance,Age,12,entity_overlap_not_one
1020,1028,invariance,Age,12,entity_overlap_not_one
1020,1032,invariance,Age,12,entity_overlap_not_one
1020,1036,invariance,Age,12,entity_overlap_not_one
1020,1040,invariance,Age,12,entity_overlap_not_one
1020,1044,invariance,Age,12,entity_overlap_not_one
1020,1048,invariance,Age,12,entity_overlap_not_one
1020,1052,invariance,Age,12,entity_overlap_not_one
1020,1056,invariance,Age,12,entity_overlap_not_one
1020,1060,invariance,Age,12,entity_overlap_not_one
1020,1064,invariance,Age,12,entity_overlap_not_one
1020,1068,invariance,Age,12,entity_overlap_not_one
1024,976,invariance,Age,12,entity_overlap_not_one
1024,980,invariance,Age,12,entity_overlap_not_one
1024,984,invariance,Age,12,entity_overlap_not_one
1024,988,invariance,Age,12,entity_overlap_not_one
1024,992,invariance,Age,12,entity_overlap_not_one
1024,996,invariance,Age,12,entity_overlap_not_one
1024,1000,invariance,Age,12,entity_overlap_not_one
1024,1004,invariance,Age,12,entity_overlap_not_one
1024,1008,invariance,Age,12,entity_overlap_not_one
1024,1012,invariance,Age,12,entity_overlap_not_one
1024,1016,invariance,Age,12,entity_overlap_not_one
1024,1020,invariance,Age,12,entity_overlap_not_one
1024,1040,invariance,Age,12,entity_overlap_not_one
1024,1044,invariance,Age,12,entity_overlap_not_one
1024,1052,invariance,Age,12,entity_overlap_not_one
1024,1056,invariance,Age,12,entity_overlap_not_one
1024,1064,invariance,Age,12,entity_overlap_not_one
1024,1068,invariance,Age,12,entity_overlap_not_one
1028,976,invariance,Age,12,entity_overlap_not_one
1028,980,invariance,Age,12,entity_overlap_not_one
1028,984,invariance,Age,12,entity_overlap_not_one
1028,988,invariance,Age,12,entity_overlap_not_one
1028,992,invariance,Age,12,entity_overlap_not_one
1028,996,invariance,Age,12,entity_overlap_not_one
1028,1000,invariance,Age,12,entity_overlap_not_one
1028,1004,invariance,Age,12,entity_overlap_not_one
1028,1008,invariance,Age,12,entity_overlap_not_one
1028,1012,invariance,Age,12,entity_overlap_not_one
1028,1016,invariance,Age,12,entity_overlap_not_one
1028,1020,invariance,Age,12,entity_overlap_not_one
1028,1036,invariance,Age,12,entity_overlap_not_one
1028,1044,invariance,Age,12,entity_overlap_not_one
1028,1048,invariance,Age,12,entity_overlap_not_one
1028,1056,invariance,Age,12,entity_overlap_not_one
1028,1060,invariance,Age,12,entity_overlap_not_one
1028,1068,invariance,Age,12,entity_overlap_not_one
1032,976,invariance,Age,12,entity_overlap_not_one
1032,980,invariance,Age,12,entity_overlap_not_one
1032,984,invariance,Age,12,entity_overlap_not_one
1032,988,invariance,Age,12,entity_overlap_not_one
1032,992,invariance,Age,12,entity_overlap_not_one
1032,996,invariance,Age,12,entity_overlap_not_one
1032,1000,invariance,Age,12,entity_overlap_not_one
1032,1004,invariance,Age,12,entity_overlap_not_one
1032,1008,invariance,Age,12,entity_overlap_not_one
1032,1012,invariance,Age,12,entity_overlap_not_one
1032,1016,invariance,Age,12,entity_overlap_not_one
1032,1020,invariance,Age,12,entity_overlap_not_one
1032,1036,invariance,Age,12,entity_overlap_not_one
1032,1040,invariance,Age,12,entity_overlap_not_one
1032,1048,invariance,Age,12,entity_overlap_not_one
1032,1052,invariance,Age,12,entity_overlap_not_one
1032,1060,invariance,Age,12,entity_overlap_not_one
1032,1064,invariance,Age,12,entity_overlap_not_one
1036,976,invariance,Age,12,entity_overlap_not_one
1036,980,invariance,Age,12,entity_overlap_not_one
1036,984,invariance,Age,12,entity_overlap_not_one
1036,988,invariance,Age,12,entity_overlap_not_one
1036,992,invariance,Age,12,entity_overlap_not_one
1036,996,invariance,Age,12,entity_overlap_not_one
1036,1000,invariance,Age,12,entity_overlap_not_one
1036,1004,invariance,Age,12,entity_overlap_not_one
1036,1008,invariance,Age,12,entity_overlap_not_one
1036,1012,invariance,Age,12,entity_overlap_not_one
1036,1016,invariance,Age,12,entity_overlap_not_one
1036,1020,invariance,Age,12,entity_overlap_not_one
1036,1028,invariance,Age,12,entity_overlap_not_one
1036,1032,invariance,Age,12,entity_overlap_not_one
1036,1052,invariance,Age,12,entity_overlap_not_one
1036,1056,invariance,Age,12,entity_overlap_not_one
1036,1064,invariance,Age,12,entity_overlap_not_one
1036,1068,invariance,Age,12,entity_overlap_not_one
1040,976,invariance,Age,12,entity_overlap_not_one
1040,980,invariance,Age,12,entity_overlap_not_one
1040,984,invariance,Age,12,entity_overlap_not_one
1040,988,invariance,Age,12,entity_overlap_not_one
1040,992,invariance,Age,12,entity_overlap_not_one
1040,996,invariance,Age,12,entity_overlap_not_one
1040,1000,invariance,Age,12,entity_overlap_not_one
1040,1004,invariance,Age,12,entity_overlap_not_one
1040,1008,invariance,Age,12,entity_overlap_not_one
1040,1012,invariance,Age,12,entity_overlap_not_one
1040,1016,invariance,Age,12,entity_overlap_not_one
1040,1020,invariance,Age,12,entity_overlap_not_one
1040,1024,invariance,Age,12,entity_overlap_not_one
1040,1032,invariance,Age,12,entity_overlap_not_one
1040,1048,invariance,Age,12,entity_overlap_not_one
1040,1056,invariance,Age,12,entity_overlap_not_one
1040,1060,invariance,Age,12,entity_overlap_not_one
1040,1068,invariance,Age,12,entity_overlap_not_one
1044,976,invariance,Age,12,entity_overlap_not_one
1044,980,invariance,Age,12,entity_overlap_not_one
1044,984,invariance,Age,12,entity_overlap_not_one
1044,988,invariance,Age,12,entity_overlap_not_one
1044,992,invariance,Age,12,entity_overlap_not_one
1044,996,invariance,Age,12,entity_overlap_not_one
1044,1000,invariance,Age,12,entity_overlap_not_one
1044,1004,invariance,Age,12,entity_overlap_not_one
1044,1008,invariance,Age,12,entity_overlap_not_one
1044,1012,invariance,Age,12,entity_overlap_not_one
1044,1016,invariance,Age,12,entity_overlap_not_one
1044,1020,invariance,Age,12,entity_overlap_not_one
1044,1024,invariance,Age,12,entity_overlap_not_one
1044,1028,invariance,Age,12,entity_overlap_not_one
1044,1048,invariance,Age,12,entity_overlap_not_one
1044,1052,invariance,Age,12,entity_overlap_not_one
1044,1060,invariance,Age,12,entity_overlap_not_one
1044,1064,invariance,Age,12,entity_overlap_not_one
1048,976,invariance,Age,12,entity_overlap_not_one
1048,980,invariance,Age,12,entity_overlap_not_one
1048,984,invariance,Age,12,entity_overlap_not_one
1048,988,invariance,Age,12,entity_overlap_not_one
1048,992,invariance,Age,12,entity_overlap_not_one
1048,996,invariance,Age,12,entity_overlap_not_one
1048,1000,invariance,Age,12,entity_overlap_not_one
1048,1004,invariance,Age,12,entity_overlap_not_one
1048,1008,invariance,Age,12,entity_overlap_not_one
1048,1012,invariance,Age,12,entity_overlap_not_one
1048,1016,invariance,Age,12,entity_overlap_not_one
1048,1020,invariance,Age,12,entity_overlap_not_one
1048,1028,invariance,Age,12,entity_overlap_not_one
1048,1032,invariance,Age,12,entity_overlap_not_one
1048,1040,invariance,Age,12,entity_overlap_not_one
1048,1044,invariance,Age,12,entity_overlap_not_one
1048,1064,invariance,Age,12,entity_overlap_not_one
1048,1068,invariance,Age,12,entity_overlap_not_one
1052,976,invariance,Age,12,entity_overlap_not_one
1052,980,invariance,Age,12,entity_overlap_not_one
1052,984,invariance,Age,12,entity_overlap_not_one
1052,988,invariance,Age,12,entity_overlap_not_one
1052,992,invariance,Age,12,entity_overlap_not_one
1052,996,invariance,Age,12,entity_overlap_not_one
1052,1000,invariance,Age,12,entity_overlap_not_one
1052,1004,invariance,Age,12,entity_overlap_not_one
1052,1008,invariance,Age,12,entity_overlap_not_one
1052,1012,invariance,Age,12,entity_overlap_not_one
1052,1016,invariance,Age,12,entity_overlap_not_one
1052,1020,invariance,Age,12,entity_overlap_not_one
1052,1024,invariance,Age,12,entity_overlap_not_one
1052,1032,invariance,Age,12,entity_overlap_not_one
1052,1036,invariance,Age,12,entity_overlap_not_one
1052,1044,invariance,Age,12,entity_overlap_not_one
1052,1060,invariance,Age,12,entity_overlap_not_one
1052,1068,invariance,Age,12,entity_overlap_not_one
1056,976,invariance,Age,12,entity_overlap_not_one
1056,980,invariance,Age,12,entity_overlap_not_one
1056,984,invariance,Age,12,entity_overlap_not_one
1056,988,invariance,Age,12,entity_overlap_not_one
1056,992,invariance,Age,12,entity_overlap_not_one
1056,996,invariance,Age,12,entity_overlap_not_one
1056,1000,invariance,Age,12,entity_overlap_not_one
1056,1004,invariance,Age,12,entity_overlap_not_one
1056,1008,invariance,Age,12,entity_overlap_not_one
1056,1012,invariance,Age,12,entity_overlap_not_one
1056,1016,invariance,Age,12,entity_overlap_not_one
1056,1020,invariance,Age,12,entity_overlap_not_one
1056,1024,invariance,Age,12,entity_overlap_not_one
1056,1028,invariance,Age,12,entity_overlap_not_one
1056,1036,invariance,Age,12,entity_overlap_not_one
1056,1040,invariance,Age,12,entity_overlap_not_one
1056,1060,invariance,Age,12,entity_overlap_not_one
1056,1064,invariance,Age,12,entity_overlap_not_one
1060,976,invariance,Age,12,entity_overlap_not_one
1060,980,invariance,Age,12,entity_overlap_not_one
1060,984,invariance,Age,12,entity_overlap_not_one
1060,988,invariance,Age,12,entity_overlap_not_one
1060,992,invariance,Age,12,entity_overlap_not_one
1060,996,invariance,Age,12,entity_overlap_not_one
1060,1000,invariance,Age,12,entity_overlap_not_one
1060,1004,invariance,Age,12,entity_overlap_not_one
1060,1008,invariance,Age,12,entity_overlap_not_one
1060,1012,invariance,Age,12,entity_overlap_not_one
1060,1016,invariance,Age,12,entity_overlap_not_one
1060,1020,invariance,Age,12,entity_overlap_not_one
1060,1028,invariance,Age,12,entity_overlap_not_one
1060,1032,invariance,Age,12,entity_overlap_not_one
1060,1040,invariance,Age,12,entity_overlap_not_one
1060,1044,invariance,Age,12,entity_overlap_not_one
1060,1052,invariance,Age,12,entity_overlap_not_one
1060,1056,invariance,Age,12,entity_overlap_not_one
1064,976,invariance,Age,12,entity_overlap_not_one
1064,980,invariance,Age,12,entity_overlap_not_one
1064,984,invariance,Age,12,entity_overlap_not_one
1064,988,invariance,Age,12,entity_overlap_not_one
1064,992,invariance,Age,12,entity_overlap_not_one
1064,996,invariance,Age,12,entity_overlap_not_one
1064,1000,invariance,Age,12,entity_overlap_not_one
1064,1004,invariance,Age,12,entity_overlap_not_one
1064,1008,invariance,Age,12,entity_overlap_not_one
1064,1012,invariance,Age,12,entity_overlap_not_one
1064,1016,invariance,Age,12,entity_overlap_not_one
1064,1020,invariance,Age,12,entity_overlap_not_one
1064,1024,invariance,Age,12,entity_overlap_not_one
1064,1032,invariance,Age,12,entity_overlap_not_one
1064,1036,invariance,Age,12,entity_overlap_not_one
1064,1044,invariance,Age,12,entity_overlap_not_one
1064,1048,invariance,Age,12,entity_overlap_not_one
1064,1056,invariance,Age,12,entity_overlap_not_one
1068,976,invariance,Age,12,entity_overlap_not_one
1068,980,invariance,Age,12,entity_overlap_not_one
1068,984,invariance,Age,12,entity_overlap_not_one
1068,988,invariance,Age,12,entity_overlap_not_one
1068,992,invariance,Age,12,entity_overlap_not_one
1068,996,invariance,Age,12,entity_overlap_not_one
1068,1000,invariance,Age,12,entity_overlap_not_one
1068,1004,invariance,Age,12,entity_overlap_not_one
1068,1008,invariance,Age,12,entity_overlap_not_one
1068,1012,invariance,Age,12,entity_overlap_not_one
1068,1016,invariance,Age,12,entity_overlap_not_one
1068,1020,invariance,Age,12,entity_overlap_not_one
1068,1024,invariance,Age,12,entity_overlap_not_one
1068,1028,invariance,Age,12,entity_overlap_not_one
1068,1036,invariance,Age,12,entity_overlap_not_one
1068,1040,invariance,Age,12,entity_overlap_not_one
1068,1048,invariance,Age,12,entity_overlap_not_one
1068,1052,invariance,Age,12,entity_overlap_not_one
978,994,invariance,Age,12,entity_overlap_not_one
978,998,invariance,Age,12,entity_overlap_not_one
978,1006,invariance,Age,12,entity_overlap_not_one
978,1010,invariance,Age,12,entity_overlap_not_one
978,1018,invariance,Age,12,entity_overlap_not_one
978,1022,invariance,Age,12,entity_overlap_not_one
978,1026,invariance,Age,12,entity_overlap_not_one
978,1030,invariance,Age,12,entity_overlap_not_one
978,1034,invariance,Age,12,entity_overlap_not_one
978,1038,invariance,Age,12,entity_overlap_not_one
978,1042,invariance,Age,12,entity_overlap_not_one
978,1046,invariance,Age,12,entity_overlap_not_one
978,1050,invariance,Age,12,entity_overlap_not_one
978,1054,invariance,Age,12,entity_overlap_not_one
978,1058,invariance,Age,12,entity_overlap_not_one
978,1062,invariance,Age,12,entity_overlap_not_one
978,1066,invariance,Age,12,entity_overlap_not_one
978,1070,invariance,Age,12,entity_overlap_not_one
982,990,invariance,Age,12,entity_overlap_not_one
982,998,invariance,Age,12,entity_overlap_not_one
982,1002,invariance,Age,12,entity_overlap_not_one
