seed_id,seed_source,seed_category,seed_subcategory,gold_unknown_fallback,split,n_pairs_llama-3.1-8b-instruct,n_pairs_qwen2.5-7b-instruct,n_pairs_gemma-2-2b-it,n_pairs_phi-4-mini-instruct
bbq_2b77ab73,bbq,sexual_orientation,,False,fit,10,10,10,10
bbq_2c5da17d,bbq,sexual_orientation,,False,test,10,10,10,10
bbq_2cd0f9c5,bbq,nationality,,False,dev,6,6,6,6
bbq_2d729f22,bbq,physical_appearance,,False,fit,10,10,10,10
bbq_2de440ae,bbq,physical_appearance,,False,fit,10,10,10,10
bbq_30e0d554,bbq,race,,False,test,10,10,10,10
bbq_3206b8de,bbq,gender,,False,test,10,10,10,10
bbq_3239072c,bbq,age,,False,fit,10,10,10,10
bbq_323c41db,bbq,age,,False,test,6,6,6,6
bbq_3259c392,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_32b0f202,bbq,race,,False,test,10,10,10,10
bbq_33ebf720,bbq,sexual_orientation,,False,test,6,6,6,6
bbq_3472f7ae,bbq,physical_appearance,,False,test,10,10,10,10
bbq_347baf4c,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_364293a8,bbq,sexual_orientation,,True,test,6,6,6,6
bbq_366c97d9,bbq,religion,,False,fit,10,10,10,10
bbq_3938e3f1,bbq,disability,,False,test,10,10,10,10
bbq_3b724457,bbq,race,,True,fit,10,10,10,10
bbq_3b79c94b,bbq,religion,,False,test,6,6,6,6
bbq_3b8753db,bbq,gender,,False,fit,10,10,10,10
bbq_3c495bcc,bbq,sexual_orientation,,False,dev,6,6,6,6
bbq_3c9b2e5f,bbq,gender,,False,fit,10,10,10,10
bbq_3f9a4583,bbq,sexual_orientation,,False,dev,10,10,10,10
bbq_400bb142,bbq,gender,,False,test,10,10,10,10
bbq_40166a07,bbq,religion,,False,test,10,10,10,10
bbq_43d6c080,bbq,gender,,False,fit,6,6,6,6
bbq_440c2b80,bbq,socioeconomic,,False,dev,6,6,6,6
bbq_44ba2b3b,bbq,socioeconomic,,False,fit,10,10,10,10
bbq_44f4373d,bbq,age,,False,dev,6,6,6,6
bbq_45d0f5c0,bbq,socioeconomic,,False,test,6,6,6,6
bbq_468a997e,bbq,physical_appearance,,False,fit,10,10,10,10
bbq_46904ba1,bbq,age,,False,fit,10,10,10,10
bbq_46e28cb8,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_482c7b86,bbq,disability,,False,dev,6,6,6,6
bbq_49a3403f,bbq,gender,,False,fit,10,10,10,10
bbq_49c614de,bbq,socioeconomic,,False,dev,6,6,6,6
bbq_4a6c601b,bbq,socioeconomic,,False,fit,10,10,10,10
bbq_4b233e5a,bbq,race,,False,dev,10,10,10,10
bbq_4ca44312,bbq,gender,,False,test,10,10,10,10
bbq_4da62669,bbq,sexual_orientation,,True,test,6,6,6,6
bbq_4f023019,bbq,religion,,False,test,10,10,10,10
bbq_4f0ea203,bbq,physical_appearance,,False,test,6,6,6,6
bbq_50561926,bbq,religion,,False,dev,6,6,6,6
bbq_510f85f0,bbq,socioeconomic,,True,fit,6,6,6,6
bbq_5171f9e5,bbq,race,,False,test,10,10,10,10
bbq_51de992a,bbq,physical_appearance,,False,fit,10,10,10,10
bbq_52f21d07,bbq,religion,,False,dev,10,10,10,10
bbq_54652806,bbq,age,,False,fit,6,6,6,6
bbq_5502ca27,bbq,race,,False,test,10,10,10,10
bbq_55464863,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_588ef8b2,bbq,nationality,,False,test,6,6,6,6
bbq_59b9c262,bbq,socioeconomic,,False,test,10,10,10,10
bbq_5c9a8328,bbq,disability,,False,fit,10,10,10,10
bbq_5ce750fa,bbq,nationality,,False,fit,6,6,6,6
bbq_5d867cd5,bbq,nationality,,False,dev,10,10,10,10
bbq_5e181dc0,bbq,socioeconomic,,False,fit,10,10,10,10
bbq_5eb54c0c,bbq,gender,,False,test,10,10,10,10
bbq_5f548c22,bbq,sexual_orientation,,False,test,10,10,10,10
bbq_60b5b3a4,bbq,physical_appearance,,False,test,6,6,6,6
bbq_627467df,bbq,race,,False,dev,10,10,10,10
bbq_63428172,bbq,socioeconomic,,False,dev,6,6,6,6
bbq_64420416,bbq,race,,False,fit,6,6,6,6
bbq_65dc06c1,bbq,race,,False,fit,10,10,10,10
bbq_67c08c53,bbq,age,,False,fit,10,10,10,10
bbq_6af72176,bbq,physical_appearance,,False,dev,6,6,6,6
bbq_6c35c88e,bbq,physical_appearance,,False,dev,6,6,6,6
bbq_6e462afa,bbq,sexual_orientation,,False,dev,6,6,6,6
bbq_6e4aeab0,bbq,disability,,False,test,6,6,6,6
bbq_6f81699c,bbq,sexual_orientation,,False,fit,10,10,10,10
bbq_70c2d2cc,bbq,physical_appearance,,True,test,6,6,6,6
bbq_7243a5e3,bbq,nationality,,False,fit,6,6,6,6
bbq_72563be2,bbq,religion,,False,test,6,6,6,6
bbq_7329a5b4,bbq,disability,,False,fit,6,6,6,6
bbq_74b75a0a,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_74ca54c2,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_75283f61,bbq,nationality,,False,dev,6,6,6,6
bbq_7583e951,bbq,disability,,False,fit,10,10,10,10
bbq_75c79caf,bbq,gender,,False,fit,10,10,10,10
bbq_75ebb4a5,bbq,gender,,False,fit,10,10,10,10
bbq_7644da81,bbq,age,,True,fit,6,6,6,6
bbq_77855696,bbq,nationality,,False,fit,6,6,6,6
bbq_7a20058a,bbq,age,,False,fit,6,6,6,6
bbq_7a4ddfa2,bbq,race,,False,fit,6,6,6,6
bbq_7ac7961f,bbq,socioeconomic,,False,test,6,6,6,6
bbq_7c72f233,bbq,sexual_orientation,,False,fit,10,10,10,10
bbq_7dd63ca2,bbq,physical_appearance,,False,dev,6,6,6,6
bbq_7effc177,bbq,race,,False,dev,10,10,10,10
bbq_805bd9be,bbq,gender,,False,fit,10,10,10,10
bbq_8131e175,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_81adbb45,bbq,age,,False,test,10,10,10,10
bbq_81d11181,bbq,disability,,False,fit,6,6,6,6
bbq_81fe0d7d,bbq,gender,,False,fit,10,10,10,10
bbq_83080f3c,bbq,race,,False,fit,6,6,6,6
bbq_83a4cacb,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_85b8474c,bbq,race,,False,fit,10,10,10,10
bbq_869d8d85,bbq,nationality,,False,fit,6,6,6,6
bbq_86e23f62,bbq,race,,False,test,10,10,10,10
bbq_89a9ab5a,bbq,socioeconomic,,False,dev,10,10,10,10
bbq_89d6e31b,bbq,age,,False,dev,10,10,10,10
bbq_8a954ee0,bbq,religion,,False,fit,6,6,6,6
bbq_8ac29e84,bbq,religion,,True,fit,6,6,6,6
bbq_8ad2df04,bbq,race,,False,fit,6,6,6,6
bbq_8af7d035,bbq,socioeconomic,,False,test,10,10,10,10
bbq_8b37735e,bbq,religion,,False,test,6,6,6,6
bbq_8bd98054,bbq,disability,,False,fit,6,6,6,6
bbq_8bf9e07f,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_8f3194c2,bbq,socioeconomic,,False,test,6,6,6,6
bbq_90426b60,bbq,disability,,False,fit,6,6,6,6
bbq_9047dfee,bbq,religion,,False,test,10,10,10,10
bbq_917b5ca0,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_922f5e19,bbq,physical_appearance,,True,fit,6,6,6,6
bbq_93d0d3c1,bbq,disability,,False,fit,10,10,10,10
bbq_9452d7df,bbq,gender,,False,dev,10,10,10,10
bbq_94775afa,bbq,disability,,False,test,6,6,6,6
bbq_95c208bb,bbq,age,,False,test,10,10,10,10
bbq_97b6260a,bbq,sexual_orientation,,False,test,10,10,10,10
bbq_9c0fb8a4,bbq,religion,,False,fit,6,6,6,6
bbq_9d412910,bbq,religion,,False,fit,6,6,6,6
bbq_9f660a15,bbq,race,,False,dev,10,10,10,10
bbq_a0ffe577,bbq,race,,False,fit,10,10,10,10
bbq_a22682b2,bbq,nationality,,False,fit,10,10,10,10
bbq_a2ca4b53,bbq,religion,,False,fit,10,10,10,10
bbq_a3371fc8,bbq,gender,,False,dev,10,10,10,10
bbq_a350ecea,bbq,nationality,,False,fit,10,10,10,10
bbq_a55a310c,bbq,religion,,False,fit,10,10,10,10
bbq_a565baf2,bbq,nationality,,False,fit,6,6,6,6
bbq_a7c0bb1f,bbq,disability,,False,test,6,6,6,6
bbq_a8c83d06,bbq,race,,False,test,10,10,10,10
bbq_a9badfe7,bbq,disability,,False,test,10,10,10,10
bbq_aa908541,bbq,gender,,False,fit,10,10,10,10
bbq_ababb2ec,bbq,age,,False,fit,10,10,10,10
bbq_abf24e99,bbq,age,,False,dev,10,10,10,10
bbq_ae5665b8,bbq,sexual_orientation,,False,dev,6,6,6,6
bbq_b0d0d8a6,bbq,age,,False,test,10,10,10,10
bbq_b2236867,bbq,nationality,,False,test,10,10,10,10
bbq_b298d32c,bbq,sexual_orientation,,False,test,10,10,10,10
bbq_b2be50e5,bbq,sexual_orientation,,False,dev,6,6,6,6
bbq_b2ca1606,bbq,religion,,False,dev,6,6,6,6
bbq_b55da45c,bbq,nationality,,False,dev,6,6,6,6
bbq_b5a72b52,bbq,religion,,False,test,6,6,6,6
bbq_b64ef971,bbq,nationality,,False,test,10,10,10,10
bbq_b6c251ec,bbq,nationality,,True,test,6,6,6,6
bbq_b7575a13,bbq,physical_appearance,,False,test,6,6,6,6
bbq_b7ee1adf,bbq,socioeconomic,,False,fit,10,10,10,10
bbq_ba61358c,bbq,disability,,False,fit,6,6,6,6
bbq_bac8dd57,bbq,age,,False,test,6,6,6,6
bbq_bb91b774,bbq,nationality,,False,fit,10,10,10,10
bbq_bc57f4b2,bbq,physical_appearance,,True,fit,6,6,6,6
bbq_bfa03a31,bbq,age,,False,fit,6,6,6,6
bbq_c136f91a,bbq,disability,,False,test,6,6,6,6
bbq_c1b8a802,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_c5852dfa,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_c58deb3d,bbq,disability,,False,fit,6,6,6,6
bbq_c5e7c23a,bbq,religion,,False,fit,6,6,6,6
bbq_c65dffbe,bbq,physical_appearance,,False,fit,10,10,10,10
bbq_c756d81d,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_c829c21d,bbq,sexual_orientation,,False,test,6,6,6,6
bbq_c8317710,bbq,race,,False,test,10,10,10,10
bbq_c8610b36,bbq,gender,,False,test,10,10,10,10
bbq_c8dac5a5,bbq,religion,,True,test,6,6,6,6
bbq_c8eac6dd,bbq,socioeconomic,,False,test,6,6,6,6
bbq_c9197208,bbq,age,,False,test,10,10,10,10
bbq_cad805ce,bbq,socioeconomic,,False,test,10,10,10,10
bbq_caf9cc05,bbq,race,,False,test,10,10,10,10
bbq_cd1106d7,bbq,nationality,,False,fit,10,10,10,10
bbq_cd414e87,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_d02e13d1,bbq,disability,,False,dev,6,6,6,6
bbq_d0575bc7,bbq,age,,False,fit,10,10,10,10
bbq_d05dad28,bbq,religion,,False,fit,6,6,6,6
bbq_d06f99f9,bbq,physical_appearance,,False,dev,6,6,6,6
bbq_d17653f6,bbq,physical_appearance,,True,fit,6,6,6,6
bbq_d2da87a2,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_d5eddc69,bbq,nationality,,False,test,6,6,6,6
bbq_d6d00484,bbq,disability,,True,test,6,6,6,6
bbq_d7a3b572,bbq,disability,,False,dev,10,10,10,10
bbq_d7f3d93a,bbq,gender,,False,test,10,10,10,10
bbq_d7fc8b3a,bbq,race,,False,dev,10,10,10,10
bbq_d9251e0a,bbq,nationality,,False,test,10,10,10,10
bbq_d9494b34,bbq,disability,,False,fit,6,6,6,6
bbq_daff6e97,bbq,disability,,False,fit,6,6,6,6
bbq_dec8f0f1,bbq,religion,,False,test,6,6,6,6
bbq_e05a66f4,bbq,race,,False,fit,10,10,10,10
bbq_e0c9f3f7,bbq,socioeconomic,,False,dev,6,6,6,6
bbq_e14e22f5,bbq,religion,,False,dev,6,6,6,6
bbq_e26d0551,bbq,race,,False,fit,10,10,10,10
bbq_e30d453e,bbq,race,,False,fit,10,10,10,10
bbq_e415f450,bbq,age,,False,dev,10,10,10,10
bbq_e44281d5,bbq,nationality,,False,test,10,10,10,10
bbq_e45c2818,bbq,disability,,False,dev,6,6,6,6
bbq_e474cded,bbq,disability,,False,dev,6,6,6,6
bbq_e4db0c2f,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_e5d48a82,bbq,religion,,False,fit,10,10,10,10
bbq_e704871c,bbq,age,,False,fit,10,10,10,10
bbq_e781c9d6,bbq,race,,False,test,10,10,10,10
bbq_e85d8f93,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_e8640172,bbq,race,,False,fit,10,10,10,10
bbq_e8e7363c,bbq,gender,,False,fit,10,10,10,10
bbq_ec7f2cfb,bbq,religion,,False,fit,6,6,6,6
bbq_ed5db3b0,bbq,physical_appearance,,False,test,6,6,6,6
bbq_ef3eb5e2,bbq,physical_appearance,,False,test,6,6,6,6
bbq_ef8f080b,bbq,sexual_orientation,,False,fit,10,10,10,10
bbq_f07ab016,bbq,nationality,,False,test,10,10,10,10
bbq_f1ae4a36,bbq,race,,False,test,10,10,10,10
bbq_f2fd55cd,bbq,gender,,False,fit,10,10,10,10
bbq_f2fedade,bbq,gender,,False,dev,10,10,10,10
bbq_f30d852d,bbq,socioeconomic,,False,test,10,10,10,10
bbq_f3f0d94d,bbq,nationality,,True,fit,6,6,6,6
bbq_f41b7538,bbq,religion,,False,fit,6,6,6,6
bbq_f49a873d,bbq,nationality,,False,test,6,6,6,6
bbq_f5728bc3,bbq,age,,False,fit,10,10,10,10
bbq_f9f88d37,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_fb0eaa38,bbq,nationality,,False,fit,10,10,10,10
bbq_fc892bbe,bbq,age,,False,fit,6,6,6,6
bbq_fd8d079f,bbq,religion,,False,test,6,6,6,6
bbq_fdc1cda3,bbq,gender,,False,fit,10,10,10,10
bbq_fe3a6d67,bbq,sexual_orientation,,False,test,6,6,6,6
bbq_fef507b4,bbq,race,,False,fit,6,6,6,6
crows_0022ccf3,crows_pairs,race,,False,test,3,3,3,3
crows_005bea6b,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_0178e337,crows_pairs,nationality,,False,fit,6,6,6,6
crows_0195d97f,crows_pairs,disability,,False,dev,6,6,6,6
crows_02b46471,crows_pairs,disability,,False,dev,6,6,6,6
crows_055181b7,crows_pairs,socioeconomic,,False,dev,6,6,6,6
crows_083c0dd0,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_08e2feb3,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_08f17222,crows_pairs,race,,False,fit,3,3,3,3
crows_0907cbcd,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_09cd9c45,crows_pairs,sexual_orientation,,False,test,6,6,6,6
crows_0bf79d1f,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_0d5a285d,crows_pairs,gender,,False,fit,10,10,10,10
crows_0dc63717,crows_pairs,gender,,False,fit,6,6,6,6
crows_0e72e1c2,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_11c6739d,crows_pairs,sexual_orientation,,False,dev,6,6,6,6
crows_120931a5,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_12a6ebe1,crows_pairs,gender,,False,fit,10,10,10,10
crows_12ed23fd,crows_pairs,age,,False,fit,6,6,6,6
crows_15d8250c,crows_pairs,race,,False,dev,6,6,6,6
crows_169984c5,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_18732289,crows_pairs,age,,False,dev,6,6,6,6
crows_1c1bdf8c,crows_pairs,disability,,False,fit,6,6,6,6
crows_1c6d9faf,crows_pairs,age,,False,test,6,6,6,6
crows_1e94d121,crows_pairs,physical_appearance,,False,dev,6,6,6,6
crows_218605a7,crows_pairs,race,,False,dev,3,3,3,3
crows_21c6fbfe,crows_pairs,gender,,False,dev,6,6,6,6
crows_223de8c2,crows_pairs,age,,False,fit,6,6,6,6
crows_229ddead,crows_pairs,gender,,False,fit,10,10,10,10
crows_2377a964,crows_pairs,nationality,,False,test,6,6,6,6
crows_240e7a1f,crows_pairs,disability,,False,test,6,6,6,6
crows_244a94a1,crows_pairs,disability,,False,fit,6,6,6,6
crows_254b893b,crows_pairs,race,,False,fit,6,6,6,6
crows_2567e28c,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_2c65ce7f,crows_pairs,age,,False,fit,6,6,6,6
crows_2d4c9494,crows_pairs,gender,,False,fit,10,10,10,10
crows_2d666bd0,crows_pairs,religion,,False,fit,6,6,6,6
crows_3006a31a,crows_pairs,religion,,False,fit,6,6,6,6
crows_31c2ec83,crows_pairs,religion,,False,dev,10,10,10,10
crows_34505558,crows_pairs,age,,False,fit,10,10,10,10
crows_34df96e5,crows_pairs,nationality,,False,fit,6,6,6,6
crows_359ed296,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_372c0714,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_3a4060b7,crows_pairs,disability,,False,fit,6,6,6,6
crows_3c84a286,crows_pairs,gender,,False,dev,10,10,10,10
crows_3d1520d6,crows_pairs,age,,False,fit,6,6,6,6
crows_3f2f3e5c,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_410c035b,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_45c77040,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_4614daad,crows_pairs,disability,,False,test,6,6,6,6
crows_463ba4e9,crows_pairs,nationality,,False,test,6,6,6,6
crows_471c83a5,crows_pairs,nationality,,False,dev,6,6,6,6
crows_47a10838,crows_pairs,socioeconomic,,False,dev,6,6,6,6
crows_47aae1d9,crows_pairs,nationality,,False,fit,6,6,6,6
crows_485fdd1c,crows_pairs,nationality,,False,test,6,6,6,6
crows_4894582d,crows_pairs,age,,False,test,6,6,6,6
crows_49c050bf,crows_pairs,gender,,False,test,10,10,10,10
crows_49cea322,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_4aa3f452,crows_pairs,disability,,False,fit,6,6,6,6
crows_4ab5ac65,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_4ed2f0d4,crows_pairs,religion,,False,test,6,6,6,6
crows_4ef446bd,crows_pairs,race,,False,fit,6,6,6,6
crows_4fcccc83,crows_pairs,race,,False,dev,3,3,3,3
crows_50297fbf,crows_pairs,religion,,False,test,6,6,6,6
crows_50ac2dca,crows_pairs,age,,False,test,6,6,6,6
crows_512608b8,crows_pairs,race,,False,fit,3,3,3,3
crows_5270ca64,crows_pairs,disability,,False,fit,6,6,6,6
crows_531085cf,crows_pairs,sexual_orientation,,False,test,6,6,6,6
crows_541cbf75,crows_pairs,nationality,,False,test,6,6,6,6
crows_5425c743,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_57f97712,crows_pairs,physical_appearance,,False,dev,6,6,6,6
crows_5871177f,crows_pairs,religion,,False,dev,6,6,6,6
crows_58bd2ca3,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_5a46a1c0,crows_pairs,race,,False,test,6,6,6,6
crows_5d329a68,crows_pairs,nationality,,False,fit,6,6,6,6
crows_5dac2270,crows_pairs,gender,,False,test,10,10,10,10
crows_5de57dc8,crows_pairs,socioeconomic,,False,test,10,10,10,10
crows_5eb11489,crows_pairs,religion,,False,fit,6,6,6,6
crows_5f2ce032,crows_pairs,sexual_orientation,,False,test,6,6,6,6
crows_5f99bc65,crows_pairs,race,,False,fit,3,3,3,3
crows_6574f27d,crows_pairs,race,,False,fit,6,6,6,6
crows_67da3c4e,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_6bbc7f86,crows_pairs,sexual_orientation,,False,test,6,6,6,6
crows_72180b63,crows_pairs,disability,,False,fit,6,6,6,6
crows_732481e4,crows_pairs,gender,,False,test,10,10,10,10
crows_741c45f4,crows_pairs,age,,False,fit,6,6,6,6
crows_74833681,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_757150ed,crows_pairs,race,,False,fit,6,6,6,6
crows_769af274,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_78150781,crows_pairs,disability,,False,dev,6,6,6,6
crows_7bfa7d01,crows_pairs,sexual_orientation,,False,dev,6,6,6,6
crows_7c94e1db,crows_pairs,religion,,False,fit,6,6,6,6
crows_7ea5b935,crows_pairs,gender,,False,test,6,6,6,6
crows_7fadd43b,crows_pairs,religion,,False,fit,6,6,6,6
crows_803cf482,crows_pairs,socioeconomic,,False,dev,6,6,6,6
crows_82544afd,crows_pairs,religion,,False,dev,6,6,6,6
crows_8303e5b8,crows_pairs,age,,False,dev,6,6,6,6
crows_83814cc8,crows_pairs,nationality,,False,test,6,6,6,6
crows_84a9d6c9,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_84d566c8,crows_pairs,gender,,False,dev,10,10,10,10
crows_84ef10c5,crows_pairs,race,,False,fit,10,10,10,10
crows_869f4413,crows_pairs,sexual_orientation,,False,test,6,6,6,6
crows_86c5d323,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_86f6e3d4,crows_pairs,nationality,,False,fit,6,6,6,6
crows_87f5dd1b,crows_pairs,religion,,False,fit,10,10,10,10
crows_8d5e454d,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_8e8b0be3,crows_pairs,physical_appearance,,False,fit,3,3,3,3
crows_8f43ed07,crows_pairs,religion,,False,test,6,6,6,6
crows_9214da6e,crows_pairs,age,,False,fit,10,10,10,10
crows_92182b8b,crows_pairs,disability,,False,test,6,6,6,6
crows_93596a3c,crows_pairs,age,,False,test,6,6,6,6
crows_97cb0ea5,crows_pairs,disability,,False,test,6,6,6,6
crows_988e07fa,crows_pairs,sexual_orientation,,False,dev,3,3,3,3
crows_9a8046cc,crows_pairs,nationality,,False,fit,6,6,6,6
crows_9f54d905,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_a17d0ce8,crows_pairs,age,,False,test,6,6,6,6
crows_a18c8ecd,crows_pairs,religion,,False,fit,6,6,6,6
crows_a1d05b0f,crows_pairs,socioeconomic,,False,dev,6,6,6,6
crows_a29887dc,crows_pairs,race,,False,test,3,3,3,3
crows_a2efadbc,crows_pairs,gender,,False,fit,10,10,10,10
crows_a3e1b649,crows_pairs,disability,,False,fit,6,6,6,6
crows_a514af1a,crows_pairs,religion,,False,test,6,6,6,6
crows_a6d425d5,crows_pairs,sexual_orientation,,False,test,10,10,10,10
crows_a7136814,crows_pairs,nationality,,False,test,6,6,6,6
crows_aa86bae8,crows_pairs,gender,,False,test,6,6,6,6
crows_aa9b02f0,crows_pairs,nationality,,False,fit,6,6,6,6
crows_ab3a0f2d,crows_pairs,disability,,False,fit,6,6,6,6
crows_ac92b16e,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_af074de0,crows_pairs,race,,False,test,3,3,3,3
crows_af2cdb98,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_af6a8577,crows_pairs,disability,,False,test,6,6,6,6
crows_b1861e81,crows_pairs,race,,False,fit,10,10,10,10
crows_b2067121,crows_pairs,age,,False,dev,6,6,6,6
crows_b35ad5ea,crows_pairs,nationality,,False,fit,6,6,6,6
crows_b54921be,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_b6d48f8f,crows_pairs,sexual_orientation,,False,dev,6,6,6,6
crows_b8717a6b,crows_pairs,gender,,False,fit,6,6,6,6
crows_ba8f6b0a,crows_pairs,age,,False,fit,6,6,6,6
crows_bb125597,crows_pairs,socioeconomic,,False,test,6,6,6,6
crows_bc8e6480,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_bd83005d,crows_pairs,nationality,,False,dev,6,6,6,6
crows_bdacfcf3,crows_pairs,gender,,False,test,10,10,10,10
crows_be506455,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_bee323d7,crows_pairs,gender,,False,fit,10,10,10,10
crows_bf687419,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_c09aa46a,crows_pairs,religion,,False,dev,6,6,6,6
crows_c24a82b5,crows_pairs,age,,False,fit,6,6,6,6
crows_c30cf8e9,crows_pairs,religion,,False,test,6,6,6,6
crows_c4e484a1,crows_pairs,physical_appearance,,False,test,6,6,6,6
crows_c619dfb1,crows_pairs,gender,,False,fit,10,10,10,10
crows_c673822b,crows_pairs,gender,,False,test,10,10,10,10
crows_c6bcd1a0,crows_pairs,disability,,False,test,6,6,6,6
crows_cc39c4e6,crows_pairs,religion,,False,fit,6,6,6,6
crows_cd4fbcf8,crows_pairs,physical_appearance,,False,dev,6,6,6,6
crows_ceae129b,crows_pairs,race,,False,test,6,6,6,6
crows_cfd9f39f,crows_pairs,disability,,False,test,6,6,6,6
crows_d1ad87f4,crows_pairs,race,,False,dev,3,3,3,3
crows_d7d2cca0,crows_pairs,nationality,,False,fit,6,6,6,6
crows_d82ba043,crows_pairs,religion,,False,test,6,6,6,6
crows_dbe76bbf,crows_pairs,race,,False,test,6,6,6,6
crows_dcf1054a,crows_pairs,age,,False,test,6,6,6,6
