claim_id,manuscript_quote,location,actual_intervention,supporting_output,metric_formula,eligible_n,interval,status,permitted_wording,note
C13,the two models without a utility-safe rank,Table 5 caption; Sec 5.3,cure_rankcurve_<model>.json utility_cost per measured rank vs budget 0.15,Code/CURE/results/cure_rankcurve_*.json,min over measured ranks of utility_cost > 0.15,"measured ranks only (Qwen: 4, 8)",n/a,UNSUPPORTED,"Models exceeding the 0.15 budget at every measured rank: Qwen2.5-7B, Gemma-2-2B, Phi-4-mini (3). Qwen has no utility measurement at ranks 1 and 2.",
C14,The selected rank removes the most causal signal among those whose utility cost stays within a budget of 0.15,Sec 3.2,"cure_rankcurve: Llama rank 4 W=0.577 cost=0.1435 vs selected rank 8 W=0.560 cost=0.1050; JSON note: bias values filled post hoc, rank 8 was the live choice",cure_rankcurve_llama-3.1-8b-instruct.json (note field),argmax W s.t. cost <= 0.15,4 ranks,n/a,PARTIAL,State the selection history: rank 8 was chosen live; on the final curve rank 4 removes more within budget. Do not describe rank 8 as the optimum of the saved curve.,
C15,following the linear core of LEACE applied through depth,Sec 3.2; Sec 2,"orthogonal projection with a frozen basis at every layer; LEACE is covariance-aware, affine, and its scrubbing fits later erasers on already-edited representations",Code/CURE/erase.py,n/a,n/a,n/a,PARTIAL,"Say: an orthogonal projection eraser in the spirit of nullspace projection; not LEACE. Faithful LEACE comparison is P2, PLANNED.",
C16,"(implicit) items are the audited, integrity-filtered pool",Sec 4,loader reads pentad_dataset.parquet (raw) and never applies cdva_degeneracy_mask,reanalysis_v2/data_integrity.csv (sweep_SAVED_ARTIFACT),"join saved sweep to mask on (model, seed, A, B); count touches_degenerate",191 of 1000 sweep pairs per model,n/a,UNSUPPORTED,"19.1% of the pairs used for fitting, rank selection and prognosis touch a variant the audit's own integrity filter marks degenerate. P2 fits only on mask-clean pairs.",
C17,the scored token identifies a unique option on 168 of 596 seeds,Sec 6; Table E.1,word-level check: first word of gold answer vs first word of each option,Code/CURE/results/reanalysis/target_token_audit.csv,n_sharing == 1,168 of 596,n/a,SUPPORTED,"Keep, as a word-level diagnostic. Tokenizer-level extension is PLANNED (P1 readouts).",
C18,All numbers come from a single inference run at a fixed seed,Sec 4; Sec 6,by construction,run logs,n/a,n/a,n/a,SUPPORTED,Keep.,
C19,tau ... the 75th percentile of |C|,Sec 3 / config,TAU=0.7644 compared with raw |delta_logit|,reanalysis_v2/tau_audit.csv; tau_relation.csv,percentile rank of 0.7644 on pooled |C|,23840 pairs,per-model p75: Llama-3.1-8B 0.67; Qwen2.5-7B 1.25; Gemma-2-2B 0.50; Phi-4-mini 0.75,PARTIAL,"0.7644 is the pooled 75th percentile of raw |C| (percentile rank 0.750). It is the 58th percentile on Qwen and the 84th on Gemma, so 'initially failing' is not a comparable population across models. The transformed pair score is a decreasing function of |C| and must never be compared with this cutoff.",
C20,(reproducibility) integrity checks run at the start of every run,Sec 4 / code,integrity.PRIMARY_KEYS['cure_recovery'] lacks erase_rank and prefix-matches the sweep,reanalysis_v2/dedup_dry_run.csv,rows dropped by drop_duplicates(key),12000 of 16000 sweep rows would be deleted,n/a,UNSUPPORTED,"Never invoke integrity.run() on the sweep files; use p0_snapshot_integrity.run_integrity_safe (corrected keys, snapshot first).",
P1,Same edit for audit and behaviour; identity checks; backend parity,Next_Plan.md,see Extended_Research_Codes/p1_*.py,Code/CURE/results/v2/ (absent until run),n/a,n/a,n/a,PLANNED,Must not appear in the paper as a result until run and validated.,
P2,"Controlled erasure with faithful LEACE, random and neutral controls, matched energy, canonical option scoring, external capability set",Next_Plan.md,see Extended_Research_Codes/p2_*.py,Code/CURE/results/v2/ (absent until run),n/a,n/a,n/a,PLANNED,Must not appear in the paper as a result until run and validated.,
P3,"One explanation: depth, magnitude, or massive-activation restoration",Next_Plan.md,see Extended_Research_Codes/p3_*.py,Code/CURE/results/v2/ (absent until run),n/a,n/a,n/a,PLANNED,Must not appear in the paper as a result until run and validated.,
P4,Independent risk forecast against margin/entropy baselines,Next_Plan.md,see Extended_Research_Codes/p4_*.py,Code/CURE/results/v2/ (absent until run),n/a,n/a,n/a,PLANNED,Must not appear in the paper as a result until run and validated.,
